Player,Squad,Gls,Sh,SoT,Dist,xG,npxG,90s
Jonathan David,Lille,16.0,56.0,25.0,15.4,15.4,9.8,24.6
Keinan Davis,Udinese,2.0,17.0,8.0,10.7,2.0,2.0,8.2
Zuriko Davitashvili,Saint-Étienne,7.0,58.0,21.0,19.9,7.1,5.5,25.9
Kevin De Bruyne,Manchester City,3.0,48.0,13.0,21.9,3.4,3.4,16.2
Bobby De Cordova-Reid,Leicester City,1.0,6.0,3.0,26.4,0.8,0.8,7.8
Charles De Ketelaere,Atalanta,5.0,42.0,17.0,12.3,5.1,5.1,20.1
Romain Del Castillo,Brest,5.0,14.0,7.0,20.1,4.6,1.4,12.0
Liam Delap,Ipswich Town,12.0,59.0,27.0,15.8,9.0,7.4,26.2
Fisayo Dele-Bashiru,Lazio,3.0,15.0,4.0,21.2,1.0,1.0,9.9
Andy Delort,Montpellier,0.0,16.0,6.0,15.7,1.3,1.3,5.7
Ousmane Dembélé,Paris S-G,21.0,84.0,44.0,15.9,15.0,14.2,17.7
Ermedin Demirović,Stuttgart,13.0,53.0,23.0,11.9,11.6,9.9,19.0
Kiernan Dewsbury-Hall,Chelsea,0.0,1.0,0.0,7.8,0.2,0.2,2.9
Boulaye Dia,Lazio,8.0,31.0,17.0,13.2,5.6,5.6,20.5
Mamadou Diakhon,Reims,2.0,15.0,7.0,19.1,0.9,0.9,8.2
Oumar Diakité,Reims,4.0,26.0,9.0,12.1,5.5,4.7,17.8
Amad Diallo,Manchester Utd,6.0,40.0,13.0,17.7,4.1,4.1,17.7
Assane Diao,Como,8.0,28.0,13.0,15.5,4.0,4.0,13.9
Assane Diao,Betis,1.0,7.0,1.0,14.4,0.8,0.8,3.1
Habib Diarra,Strasbourg,4.0,23.0,10.0,20.4,3.0,1.4,23.6
Kandet Diawara,Le Havre,0.0,0.0,0.0,,0.0,0.0,0.0
Brahim Díaz,Real Madrid,4.0,26.0,14.0,12.5,4.9,4.9,14.2
Luis Díaz,Liverpool,11.0,64.0,26.0,13.7,9.2,9.2,23.9
Tyler Dibling,Southampton,2.0,28.0,9.0,19.3,2.5,2.5,18.7
Diego,Leganés,3.0,23.0,8.0,12.8,3.5,3.5,10.2
Justin Diehl,Stuttgart,1.0,7.0,1.0,15.8,1.0,1.0,1.2
Bamba Dieng,Angers,3.0,13.0,6.0,18.5,3.1,2.3,5.9
Federico Dimarco,Inter,4.0,50.0,18.0,20.5,2.8,2.8,21.4
Junior Dina Ebimbe,Eint Frankfurt,0.0,8.0,0.0,16.5,0.9,0.9,3.3
Eren Dinkçi,Freiburg,0.0,14.0,3.0,19.0,1.1,1.1,13.3
Yan Diomandé,Leganés,0.0,3.0,1.0,16.7,0.2,0.2,2.3
