Player,Squad,Gls,Sh,SoT,Dist,xG,npxG,90s
Tomás Conechny,Alavés,1.0,19.0,8.0,17.5,2.3,2.3,8.0
Sirlord Conteh,Heidenheim,1.0,11.0,4.0,15.7,1.5,1.5,8.3
Francis Coquelin,Nantes,0.0,2.0,0.0,13.6,0.5,0.5,0.7
Maxwel Cornet,Southampton,0.0,1.0,0.0,18.8,0.2,0.2,0.8
Maxwel Cornet,Genoa,2.0,5.0,3.0,12.3,1.0,1.0,2.6
Ángel Correa,Atlético Madrid,3.0,30.0,12.0,13.6,4.2,4.2,7.7
Joaquín Correa,Inter,1.0,6.0,2.0,13.0,0.9,0.9,3.9
Coba da Costa,Getafe,1.0,17.0,7.0,18.1,0.9,0.9,8.6
David Costa,Lens,0.0,9.0,2.0,18.0,1.2,1.2,3.9
Lasso Coulibaly,Auxerre,1.0,2.0,1.0,11.8,0.2,0.2,0.4
Tanguy Coulibaly,Montpellier,2.0,23.0,10.0,16.4,2.7,2.7,10.8
Yan Couto,Dortmund,0.0,5.0,2.0,22.8,0.2,0.2,9.1
Juan Cruz,Leganés,4.0,30.0,12.0,21.5,1.7,1.7,21.6
Cucho,Betis,2.0,20.0,4.0,17.2,2.4,2.4,6.8
Matheus Cunha,Wolves,14.0,88.0,36.0,20.7,7.3,7.3,24.0
Patrick Cutrone,Como,6.0,58.0,22.0,15.8,6.0,5.2,20.3
Tomáš Čvančara,Gladbach,1.0,20.0,7.0,14.4,3.0,3.0,6.8
Patson Daka,Leicester City,1.0,15.0,4.0,14.8,1.3,1.3,6.9
Thijs Dallinga,Bologna,2.0,26.0,8.0,11.6,3.6,3.6,8.9
Mikkel Damsgaard,Brentford,2.0,31.0,7.0,17.1,2.6,2.6,26.8
Maat Daniel Caprini,Fiorentina,0.0,0.0,0.0,,0.0,0.0,0.1
Danilo,Nott'ham Forest,0.0,0.0,0.0,,0.0,0.0,2.3
Arnaut Danjuma,Villarreal,2.0,6.0,3.0,13.9,0.8,0.8,2.2
Arnaut Danjuma,Girona,2.0,27.0,13.0,15.5,3.4,3.4,13.7
Pape Daouda Diongue,Strasbourg,1.0,5.0,2.0,11.5,1.0,1.0,0.9
Mohammed Daramy,Reims,0.0,1.0,0.0,16.7,0.0,0.0,0.2
Sergi Darder,Mallorca,1.0,28.0,7.0,24.0,1.7,1.7,23.7
Lukas Daschner,Bochum,1.0,8.0,4.0,15.8,2.7,1.9,4.6
Jonathan David,Lille,14.0,51.0,22.0,15.5,14.3,8.7,23.6
Keinan Davis,Udinese,2.0,14.0,5.0,9.5,1.5,1.5,7.9
Zuriko Davitashvili,Saint-Étienne,7.0,51.0,19.0,19.6,6.3,4.7,25.0
Charles De Ketelaere,Atalanta,5.0,42.0,17.0,12.3,5.1,5.1,19.9
Romain Del Castillo,Brest,5.0,14.0,7.0,20.1,4.6,1.4,11.9
Liam Delap,Ipswich Town,12.0,59.0,27.0,15.8,9.0,7.4,26.0
Fisayo Dele-Bashiru,Lazio,3.0,15.0,4.0,21.2,1.0,1.0,9.9
Andy Delort,Montpellier,0.0,16.0,6.0,15.7,1.3,1.3,5.7
Ousmane Dembélé,Paris S-G,21.0,82.0,43.0,15.9,14.9,14.2,17.0
Ermedin Demirović,Stuttgart,13.0,52.0,22.0,11.8,11.6,9.9,18.0
Kiernan Dewsbury-Hall,Chelsea,0.0,1.0,0.0,7.8,0.2,0.2,2.9
Boulaye Dia,Lazio,7.0,28.0,15.0,13.3,5.3,5.3,19.8
Mamadou Diakhon,Reims,2.0,15.0,7.0,19.1,0.9,0.9,8.0
Oumar Diakité,Reims,4.0,26.0,9.0,12.1,5.5,4.7,17.8
Amad Diallo,Manchester Utd,6.0,40.0,13.0,17.7,4.1,4.1,17.7
Assane Diao,Como,6.0,26.0,11.0,15.5,3.2,3.2,12.9
Assane Diao,Betis,1.0,7.0,1.0,14.4,0.8,0.8,3.1
Habib Diarra,Strasbourg,4.0,23.0,10.0,20.4,3.0,1.4,23.0
Kandet Diawara,Le Havre,0.0,0.0,0.0,,0.0,0.0,0.0
Brahim Díaz,Real Madrid,4.0,22.0,10.0,12.5,4.6,4.6,13.1
Luis Díaz,Liverpool,11.0,62.0,26.0,13.9,9.1,9.1,22.9
Tyler Dibling,Southampton,2.0,27.0,9.0,19.7,2.4,2.4,18.5
Diego,Leganés,3.0,22.0,8.0,12.8,3.4,3.4,9.2
Justin Diehl,Stuttgart,1.0,7.0,1.0,15.8,1.0,1.0,1.2
Bamba Dieng,Angers,3.0,13.0,6.0,18.5,3.1,2.3,5.9
Federico Dimarco,Inter,4.0,50.0,18.0,20.5,2.8,2.8,21.1
Junior Dina Ebimbe,Eint Frankfurt,0.0,8.0,0.0,16.5,0.9,0.9,3.3
Eren Dinkçi,Freiburg,0.0,14.0,3.0,19.0,1.1,1.1,13.3
Yan Diomandé,Leganés,0.0,2.0,1.0,17.1,0.1,0.1,0.8
